[13/Mar/2026 18:05:27] "GET / HTTP/1.1" 200 25851
/home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/django/core/handlers/base.py:62: UserWarning: No directory at: /app/staticfiles/
  mw_instance = middleware(adapted_handler)
Error: That port is already in use.
[13/Mar/2026 18:09:46] "GET /static_v2/js/html5-qrcode.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:09:46] "GET /static_v2/js/browser-image-compression.js HTTP/1.1" 404 179
[13/Mar/2026 18:09:46] "GET /static_v2/js/offline_manager.js?v=2.0 HTTP/1.1" 404 179
[13/Mar/2026 18:09:46] "GET /static_v2/js/pwa_install.js?v=1.0 HTTP/1.1" 404 179
[13/Mar/2026 18:09:48] "GET /service-worker.js HTTP/1.1" 200 5680
[13/Mar/2026 18:09:51] "GET /canteen/analytics/ HTTP/1.1" 200 87183
[13/Mar/2026 18:09:51] "GET /static_v2/js/html5-qrcode.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:09:51] "GET /static_v2/js/dexie.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:09:51] "GET /static_v2/js/browser-image-compression.js HTTP/1.1" 404 179
[13/Mar/2026 18:09:51] "GET /static_v2/js/camera_helper.js HTTP/1.1" 404 179
[13/Mar/2026 18:09:51] "GET /static_v2/js/pwa_install.js?v=1.0 HTTP/1.1" 404 179
[13/Mar/2026 18:09:51] "GET /static_v2/js/auth_manager.js?v=1.1 HTTP/1.1" 404 179
[13/Mar/2026 18:09:51] "GET /static_v2/js/offline_manager.js?v=2.0 HTTP/1.1" 404 179
[13/Mar/2026 18:09:53] "GET /service-worker.js HTTP/1.1" 200 5680
[13/Mar/2026 18:10:17] "GET / HTTP/1.1" 200 25851
[13/Mar/2026 18:10:20] "POST /canteen/auth/login/ HTTP/1.1" 200 188
[13/Mar/2026 18:10:22] "GET /canteen/analytics/ HTTP/1.1" 200 87183
[13/Mar/2026 18:10:22] "GET /static_v2/js/html5-qrcode.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:10:22] "GET /static_v2/js/offline_manager.js?v=2.0 HTTP/1.1" 404 179
[13/Mar/2026 18:10:22] "GET /static_v2/js/auth_manager.js?v=1.1 HTTP/1.1" 404 179
[13/Mar/2026 18:10:22] "GET /static_v2/js/dexie.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:10:22] "GET /static_v2/js/pwa_install.js?v=1.0 HTTP/1.1" 404 179
[13/Mar/2026 18:10:22] "GET /static_v2/js/browser-image-compression.js HTTP/1.1" 404 179
